Date,Open,High,Low,Close,Adj Close,Volume,New Price
26/8/2020,4.14,4.14,4.14,4.14,3.253598,0,1
27/8/2020,3.95,5.5,3.95,5.27,4.141658,3700,0
28/8/2020,5.27,5.27,5.27,5.27,4.141658,0,0
31/8/2020,5.27,5.27,5.27,5.27,4.141658,0,0
1/9/2020,5.27,5.27,5.27,5.27,4.141658,0,0
2/9/2020,3.45,3.45,3.24,3.24,2.546294,3100,1
3/9/2020,3.64,3.65,3.64,3.65,2.868511,300,0
4/9/2020,3.65,3.65,3.65,3.65,2.868511,0,0
8/9/2020,3.65,3.65,3.65,3.65,2.868511,0,1
9/9/2020,3.89,3.89,3.89,3.89,3.057125,200,0
10/9/2020,3.89,3.89,3.89,3.89,3.057125,0,0
11/9/2020,3.32,3.99,3.12,3.15,2.475564,3000,0
14/9/2020,3.12,3.13,3.12,3.13,2.459846,2300,0
15/9/2020,3.13,3.13,3.13,3.13,2.459846,0,0
16/9/2020,3.13,3.13,3.13,3.13,2.459846,0,1
17/9/2020,3.75,3.75,3.75,3.75,2.9471,43700,0
18/9/2020,3.7,3.7,3.7,3.7,2.907805,1100,0
21/9/2020,3.7,3.7,3.7,3.7,2.907805,100,0
22/9/2020,3.36,3.36,3.36,3.36,2.640602,300,0
23/9/2020,3.36,3.36,3.36,3.36,2.640602,0,0
24/9/2020,3.36,3.36,3.36,3.36,2.640602,0,0
25/9/2020,3.36,3.36,3.36,3.36,2.640602,0,1
28/9/2020,3.39,3.39,3.39,3.39,2.664178,200,1
29/9/2020,3.38,3.98,3.38,3.61,2.837075,1800,1
30/9/2020,4.18,4.18,3.97,3.97,3.119997,400,0
1/10/2020,3.97,3.97,3.97,3.97,3.119997,0,0
2/10/2020,3.61,3.61,3.41,3.41,2.679896,300,0
5/10/2020,3.54,3.54,3.39,3.41,2.679896,600,1
6/10/2020,4.13,4.13,4.13,4.13,3.24574,300,0
7/10/2020,4.11,4.11,4.08,4.08,3.206445,6800,0
8/10/2020,4.08,4.08,4.08,4.08,3.206445,0,0
9/10/2020,4.08,4.08,4.08,4.08,3.206445,0,0
12/10/2020,3.55,3.72,3.55,3.72,2.923523,500,1
13/10/2020,3.38,3.96,3.38,3.96,3.112138,1400,0
14/10/2020,3.96,3.96,3.96,3.96,3.112138,0,0
15/10/2020,3.58,3.58,3.4,3.4,2.672038,300,0
16/10/2020,3.4,3.4,3.4,3.4,2.672038,0,1
19/10/2020,3.5,3.5,3.5,3.5,2.750627,100,0
20/10/2020,3.5,3.5,3.5,3.5,2.750627,100,0
21/10/2020,3.45,3.45,3.45,3.45,2.711332,800,0
22/10/2020,3.45,3.45,3.45,3.45,2.711332,0,1
23/10/2020,3.57,3.57,3.57,3.57,2.805639,1300,0
26/10/2020,3.57,3.57,3.57,3.57,2.805639,0,1
27/10/2020,3.45,3.58,3.45,3.58,2.813498,3700,0
28/10/2020,3.55,3.55,3.55,3.55,2.789921,300,0
29/10/2020,3.55,3.55,3.55,3.55,2.789921,0,1
30/10/2020,3.95,3.95,3.95,3.95,3.104279,100,0
2/11/2020,3.95,3.95,3.95,3.95,3.104279,0,0
3/11/2020,3.95,3.95,3.95,3.95,3.104279,0,0
4/11/2020,3.95,3.95,3.95,3.95,3.104279,0,0
5/11/2020,3.95,3.95,3.95,3.95,3.104279,0,0
6/11/2020,3.95,3.95,3.95,3.95,3.104279,0,0
9/11/2020,3.95,3.95,3.95,3.95,3.104279,0,0
10/11/2020,3.95,3.95,3.95,3.95,3.104279,0,0
11/11/2020,3.95,3.95,3.95,3.95,3.104279,0,0
12/11/2020,3.95,3.95,3.95,3.95,3.104279,0,0
13/11/2020,3.95,3.95,3.95,3.95,3.104279,0,1
16/11/2020,3.9,3.98,3.9,3.98,3.127856,400,0
17/11/2020,3.98,3.98,3.98,3.98,3.127856,0,0
18/11/2020,3.98,3.98,3.98,3.98,3.127856,0,1
19/11/2020,4.59,4.59,4.59,4.59,3.607251,1400,0
20/11/2020,4.59,4.59,4.59,4.59,3.607251,100,0
23/11/2020,4.59,4.59,4.59,4.59,3.607251,0,0
24/11/2020,4.59,4.59,4.59,4.59,3.607251,0,0
25/11/2020,4.59,4.59,4.59,4.59,3.607251,0,0
27/11/2020,4.59,4.59,4.59,4.59,3.607251,0,0
30/11/2020,3.53,4.49,3.53,4.49,3.528661,1400,0
1/12/2020,4.49,4.49,4.49,4.49,3.528661,0,0
2/12/2020,3.87,4.07,3.87,4.07,3.198586,500,0
3/12/2020,4.07,4.07,4.07,4.07,3.198586,0,0
4/12/2020,4.07,4.07,4.07,4.07,3.198586,0,0
7/12/2020,4.07,4.07,4.07,4.07,3.198586,0,0
8/12/2020,3.96,4.09,3.85,3.91,3.072843,22300,0
9/12/2020,3.91,3.91,3.91,3.91,3.072843,460200,1
10/12/2020,4.36,4.36,4.36,4.36,3.426495,800,0
11/12/2020,4.35,4.35,3.92,3.92,3.080702,1300,1
14/12/2020,4.36,4.36,4.26,4.26,3.347906,1300,0
15/12/2020,4.26,4.26,4.26,4.26,3.347906,0,0
16/12/2020,4.25,4.55,4.25,4.25,3.340047,6000,1
17/12/2020,4.25,4.25,4.25,4.25,3.392734,0,1
18/12/2020,4.42,4.42,4.42,4.42,3.528443,22500,0
21/12/2020,4.37,4.41,4.36,4.41,3.52046,6000,0
22/12/2020,3.84,4.04,3.84,3.84,3.065435,1500,0
23/12/2020,3.84,3.84,3.84,3.84,3.065435,0,1
24/12/2020,4.34,4.34,4.34,4.34,3.46458,300,0
28/12/2020,4.18,4.18,4.18,4.18,3.336854,400,0
29/12/2020,4.18,4.18,4.18,4.18,3.336854,0,0
30/12/2020,3.9,4.1,3.9,4.1,3.27299,300,1
31/12/2020,4.29,4.29,4.29,4.29,3.424665,300,0
4/1/2021,4.29,4.29,4.29,4.29,3.424665,0,0
5/1/2021,3.45,4.14,3.45,3.55,2.83393,1700,1
6/1/2021,3.76,3.76,3.56,3.6,2.873845,7900,1
7/1/2021,4.33,4.33,4.33,4.33,3.456597,500,0
8/1/2021,4.33,4.33,4.33,4.33,3.456597,0,0
11/1/2021,4.32,4.32,4.31,4.31,3.440631,600,0
12/1/2021,4.31,4.31,4.31,4.31,3.440631,0,0
13/1/2021,4.31,4.31,4.31,4.31,3.440631,0,0
14/1/2021,4.31,4.31,4.31,4.31,3.440631,0,0
15/1/2021,4.31,4.31,4.31,4.31,3.440631,0,0
19/1/2021,4.31,4.31,4.31,4.31,3.440631,0,0
20/1/2021,3.41,4.25,3.41,4.25,3.392734,500,0
21/1/2021,4.25,4.25,4.25,4.25,3.392734,0,1
22/1/2021,3.61,4.7,3.61,4.7,3.751965,6800,0
25/1/2021,4.7,4.7,4.7,4.7,3.751965,0,0
26/1/2021,4.7,4.7,4.7,4.7,3.751965,0,0
27/1/2021,4.7,4.7,4.7,4.7,3.751965,0,0
28/1/2021,4.58,4.58,4.38,4.38,3.496512,900,0
29/1/2021,4.38,4.38,4.38,4.38,3.496512,0,0
1/2/2021,4.38,4.38,4.38,4.38,3.496512,0,1
2/2/2021,4.63,4.63,4.63,4.63,3.696084,100,0
3/2/2021,4.63,4.63,4.63,4.63,3.696084,0,0
4/2/2021,4.63,4.63,4.63,4.63,3.696084,0,0
5/2/2021,3.5,3.5,3.5,3.5,2.794016,300,0
8/2/2021,3.5,3.5,3.5,3.5,2.794016,0,1
9/2/2021,4.49,4.49,3.8,3.8,3.033503,8600,0
10/2/2021,3.8,3.8,3.8,3.8,3.033503,0,0
11/2/2021,3.8,3.8,3.8,3.8,3.033503,0,0
12/2/2021,3.7,3.7,3.7,3.7,2.953674,200,1
